fileId,baseTextId
2441179,465920
2441180,466944
2441181,467968
2441182,468992
2441183,470016
2441184,471040
2441185,472064
2441186,473088
2441187,474112
2441188,475136
2441189,476160
2441190,477184
2441191,478208
2441192,479232
2441193,480256
2441194,481280
2441195,482304
2441196,483328
2441197,484352
2441198,485376
2441199,486400
2441200,487424
2441201,488448
2441202,489472
2441203,490496
2441204,491520
2441205,492544
2441206,493568
2441207,494592
2441208,495616
2441209,496640
2441210,497664
2441211,498688
2441212,499712
2441213,500736
2441214,501760
2441215,502784
2441216,503808
2441217,504832
2441218,505856
2441219,506880
2441220,507904
2441221,508928
2441222,509952
2441223,510976
2441224,512000
2441225,513024
2441226,514048
2441227,515072
2441228,516096
2441229,517120
2441230,518144
2441231,519168
2441232,520192
2441233,521216
2441234,522240
2441235,523264
2441236,524288
2441237,525312
2441238,526336
2441239,527360
2441240,528384
2441241,529408
2441242,530432
2441243,531456
2441244,532480
2441245,533504
2441246,534528
2441247,535552
2441248,536576
2441249,537600
2441250,538624
2441251,539648
2441252,540672
2441253,541696
2441254,542720
2441255,543744
2441256,544768
2441257,545792
2441258,546816
2441259,547840
2441260,548864
2441261,549888
2441262,550912
2441263,551936
2441264,552960
2441265,553984
2441266,555008
2441267,556032
2441268,557056
2441269,558080
2441270,559104
2441271,560128
2441272,561152
2441273,562176
2441274,563200
2441275,564224
2441276,565248
2441277,566272
2441278,567296
2441279,568320
2441280,569344
2441281,570368
2441282,571392
2441283,572416
2441284,573440
2441285,574464
2441286,575488
2441287,576512
2441288,577536
2441289,578560
2441290,579584
2441291,580608
2441292,581632
2441293,582656
2441294,583680
2441295,584704
2441296,585728
2441297,586752
2441298,587776
2441299,588800
2441300,589824
2441301,590848
2441302,591872
2441303,592896
2441304,593920
2441305,594944
2441306,595968
2441307,596992
2441308,598016
2441309,599040
2441310,600064
2441311,601088
2441312,602112
2441313,603136
2441314,604160
2441315,605184
2441316,606208
2441317,607232
2441318,608256
2441319,609280
2441320,610304
2441321,611328
2441322,612352
2441323,613376
2441324,614400
2441325,615424
2441326,616448
2441327,617472
2441328,618496
2441329,619520
2441330,620544
2441331,621568
2441332,622592
2441333,623616
2441334,624640
2441335,625664
2441336,626688
2441337,627712
2441338,628736
2441339,629760
2441340,630784
2441341,631808
2441342,632832
2441343,633856
2441344,634880
2441345,635904
2441346,636928
2441347,637952
2441348,638976
2441349,640000
2441350,641024
2441351,642048
2441352,643072
2441353,644096
2441354,645120
2441355,646144
2441356,647168
2441357,648192
2441358,649216
2441359,650240
2441360,651264
2441361,652288
2441362,653312
2441363,654336
2441364,655360
2441365,656384
2441366,657408
2441367,658432
2441368,659456
2441369,660480
2441370,661504
2441371,662528
2441372,663552
2441373,664576
2441374,665600
2441375,666624
2441376,667648
2441377,668672
2441378,669696
2441379,670720
2441380,671744
2441381,672768
2441382,673792
2441383,674816
2441384,675840
2441385,676864
2441386,677888
2441387,678912
2441388,679936
2441389,680960
2441390,681984
2441391,683008
2441392,684032
2441393,685056
2441394,686080
2441395,687104
2441396,688128
2441397,689152
2441398,690176
2441399,691200
2441400,692224
2441401,693248
2441402,694272
2441403,695296
2441404,696320
2441405,697344
2441406,698368
2441407,699392
2441408,700416
2441409,701440
2441410,702464
2441411,703488
2441412,704512
2441413,705536
2441414,706560
2441415,707584
2441416,708608
2441417,709632
2441418,710656
2441419,711680
2441420,712704
2441421,713728
2441422,714752
2441423,715776
2441424,716800
2441425,717824
2441426,718848
2441427,719872
2441428,720896
2441429,721920
2441430,722944
2441431,723968
2441432,724992
2441433,726016
2441434,727040
2441435,728064
2441436,729088
2441437,730112
2441438,731136
2441439,732160
2441440,733184
2441441,734208
2441442,735232
2441443,736256
2441444,737280
2441445,738304
2441446,739328
2441447,740352
2441448,741376
2441449,742400
2441450,743424
2441451,744448
2441452,745472
2441453,746496
2441454,747520
2441455,748544
2441456,749568
2441457,750592
2441458,751616
2441459,752640
2441460,753664
2441461,754688
2441462,755712
2441463,756736
2441464,757760
2441465,758784
2441466,759808
2441467,760832
2441468,761856
2441469,762880
2441470,763904
2441471,764928
2441472,765952
2441473,766976
2441474,768000
2441475,769024
2441476,770048
2441477,771072
2441478,772096
2441479,773120
2441480,774144
2441481,775168
2441482,776192
2441483,777216
2441484,778240
2441485,779264
2441486,780288
2441487,781312
2441488,782336
2441489,783360
2441490,784384
2441491,785408
2441492,786432
2441493,787456
2441494,788480
2441495,789504
2441496,790528
2441497,791552
2441498,792576
2441499,793600
2441500,794624
2441501,795648
2441502,796672
2441503,797696
2441504,798720
2441505,799744
2441506,800768
2441507,801792
2441508,802816
2441509,803840
2441510,804864
2441511,805888
2441512,806912
2441513,807936
2441514,808960
2441515,809984
2441516,811008
2441517,812032
2441518,813056
2441519,814080
2441520,815104
2441521,816128
2441522,817152
2441523,818176
2441524,819200
2441525,820224
2441526,821248
2441527,822272
2441528,823296
2441529,824320
2441530,825344
2441531,826368
2441532,827392
2441533,828416
2441534,829440
2441535,830464
2441536,831488
2441537,832512
2441538,833536
2441539,834560
2441540,835584
2441541,836608
2441542,837632
2441543,838656
2441544,839680
2441545,840704
2441546,841728
2441547,842752
2441548,843776
2441549,844800
2441550,845824
2441551,846848
2441552,847872
2441553,848896
2441554,849920
2441555,850944
2441556,851968
2441557,852992
2441558,854016
2441559,855040
2441560,856064
2441561,857088
2441562,858112
2441563,859136
2441564,860160
2441565,861184
2441566,862208
2441567,863232
2441568,864256
2441569,865280
2441570,866304
2441571,867328
2441572,868352
2441573,869376
2441574,870400
2441575,871424
2441576,872448
2441577,873472
2441578,874496
2441579,875520
2441580,876544
2441581,877568
2441582,878592
2441583,879616
2441584,880640
2441585,881664
2441586,882688
2441587,883712
2441588,884736
2441589,885760
2441590,886784
2441591,887808
2441592,888832
2441593,889856
2441594,890880
2441595,891904
2441596,892928
2441597,893952
2441598,894976
2441599,896000
2441600,897024
2441601,898048
2441602,899072
2441603,900096
2441604,901120
2441605,902144
2441606,903168
2441607,904192
2441608,905216
2441609,906240
2441610,907264
2441611,908288
2441612,909312
2441613,910336
2441614,911360
2441615,912384
2441616,913408
2441617,914432
2441618,915456
2441619,916480
2441620,917504
2441621,918528
2441622,919552
2441623,920576
2441624,921600
2441625,922624
2441626,923648
2441627,924672
2441628,925696
2441629,926720
2441630,927744
2441631,928768
2441632,929792
2441633,930816
2441634,931840
2441635,932864
2441636,933888
2441637,934912
2441638,935936
2441639,936960
2441640,937984
2441641,939008
2441642,940032
2441643,941056
2441644,942080
2441645,943104
2441646,944128
2441647,945152
2441648,946176
2441649,947200
2441650,948224
2441651,949248
2441652,950272
2441653,951296
2441654,952320
2441655,953344
2441656,954368
2441657,955392
2441658,956416
2441659,957440
2441660,958464
2441661,959488
2441662,960512
2441663,961536
2441664,962560
2441665,963584
2441666,964608
2441667,965632
2441668,966656
2441669,967680
2441670,968704
2441671,969728
2441672,970752
2441673,971776
2441674,972800
2441675,973824
2441676,974848
2441677,975872
2441678,976896
2441679,977920
2441680,978944
2441681,979968
2441682,980992
2441683,982016
2441684,983040
2441685,984064
2441686,985088
2441687,986112
2441688,987136
2441689,988160
2441690,989184
2441691,990208
2441692,991232
2441693,992256
2441694,993280
2441695,994304
2441696,995328
2441697,996352
2441698,997376
2441699,998400
2441700,999424
2441701,1000448
2441702,1001472
2441703,1002496
2441704,1003520
2441705,1004544
2441706,1005568
2441707,1006592
2441708,1007616
2441709,1008640
2441710,1009664
2441711,1010688
2441712,1011712
2441713,1012736
2441714,1013760
2441715,1014784
2441716,0
2441717,1024
2441718,2048
2441719,3072
2441720,4096
2441721,5120
2441722,6144
2441723,7168
2441724,8192
2441725,9216
2441726,10240
2441727,11264
2441728,12288
2441729,13312
2441730,14336
2441731,15360
2441732,16384
2441733,17408
2441734,18432
2441735,19456
2441736,20480
2441737,21504
2441738,22528
2441739,23552
2441740,24576
2441741,25600
2441742,26624
2441743,27648
2441744,28672
2441745,29696
2441746,30720
2441747,31744
2441748,32768
2441749,33792
2441750,34816
2441751,35840
2441752,36864
2441753,37888
2441754,38912
2441755,39936
2441756,40960
2441757,41984
2441758,43008
2441759,44032
2441760,45056
2441761,46080
2441762,47104
2441763,48128
2441764,49152
2441765,50176
2441766,51200
2441767,52224
2441768,53248
2441769,54272
2441770,55296
2441771,56320
2441772,57344
2441773,58368
2441774,59392
2441775,60416
2441776,61440
2441777,62464
2441778,63488
2441779,64512
2441780,65536
2441781,66560
2441782,67584
2441783,68608
2441784,69632
2441785,70656
2441786,71680
2441787,72704
2441788,73728
2441789,74752
2441790,75776
2441791,76800
2441792,77824
2441793,78848
2441794,79872
2441795,80896
2441796,81920
2441797,82944
2441798,83968
2441799,84992
2441800,86016
2441801,87040
2441802,88064
2441803,89088
2441804,90112
2441805,91136
2441806,92160
2441807,93184
2441808,94208
2441809,95232
2441810,96256
2441811,97280
2441812,98304
2441813,99328
2441814,100352
2441815,101376
2441816,102400
2441817,103424
2441818,104448
2441819,105472
2441820,106496
2441821,107520
2441822,108544
2441823,109568
2441824,110592
2441825,111616
2441826,112640
2441827,113664
2441828,114688
2441829,115712
2441830,116736
2441831,117760
2441832,118784
2441833,119808
2441834,120832
2441835,121856
2441836,122880
2441837,123904
2441838,124928
2441839,125952
2441840,126976
2441841,128000
2441842,129024
2441843,130048
2441844,131072
2441845,132096
2441846,133120
2441847,134144
2441848,135168
2441849,136192
2441850,137216
2441851,138240
2441852,139264
2441853,140288
2441854,141312
2441855,142336
2441856,143360
2441857,144384
2441858,145408
2441859,146432
2441860,147456
2441861,148480
2441862,149504
2441863,150528
2441864,151552
2441865,152576
2441866,153600
2441867,154624
2441868,155648
2441869,156672
2441870,157696
2441871,158720
2441872,159744
2441873,160768
2441874,161792
2441875,162816
2441876,163840
2441877,164864
2441878,165888
2441879,166912
2441880,167936
2441881,168960
2441882,169984
2441883,171008
2441884,172032
2441885,173056
2441886,174080
2441887,175104
2441888,176128
2441889,177152
2441890,178176
2441891,179200
2441892,180224
2441893,181248
2441894,182272
2441895,183296
2441896,184320
2441897,185344
2441898,186368
2441899,187392
2441900,188416
2441901,189440
2441902,190464
2441903,191488
2441904,192512
2441905,193536
2441906,194560
2441907,195584
2441908,196608
2441909,197632
2441910,198656
2441911,199680
2441912,200704
2441913,201728
2441914,202752
2441915,203776
2441916,204800
2441917,205824
2441918,206848
2441919,207872
2441920,208896
2441921,209920
2441922,210944
2441923,211968
2441924,212992
2441925,214016
2441926,215040
2441927,216064
2441928,217088
